"month","payment_type","total_payment","total_orders"
"1","credit_card","1020407.39","5895"
"1","boleto","234930.84","1665"
"1","voucher","25798.05","166"
"1","debit_card","13228.81","118"
"2","credit_card","1037152.59","6361"
"2","boleto","243623.83","1675"
"2","voucher","17019.02","148"
"2","debit_card","9147.97","81"
"3","credit_card","1315480.79","7425"
"3","boleto","276144.02","1893"
"3","voucher","22495.08","192"
"3","debit_card","11825.42","105"
"4","credit_card","1309780.65","7103"
"4","boleto","290870.91","1750"
"4","voucher","23130.67","189"
"4","debit_card","13970.86","120"
"5","credit_card","1444249.70","8118"
"5","boleto","347668.18","1997"
"5","voucher","23970.94","189"
"5","debit_card","17208.29","79"
"6","credit_card","1263475.80","7109"
"6","boleto","274693.27","1785"
"6","debit_card","40722.05","205"
"6","voucher","23533.79","185"
"7","credit_card","1312113.32","7606"
"7","boleto","328738.96","2027"
"7","debit_card","43015.60","256"
"7","voucher","24508.38","208"
"8","credit_card","1389936.53","7996"
"8","boleto","286525.73","2017"
"8","debit_card","52719.59","302"
"8","voucher","20362.45","196"
"9","credit_card","586492.43","3143"
"9","boleto","132837.51","867"
"9","voucher","10559.47","87"
"9","debit_card","4812.67","43"
"10","credit_card","691234.06","3609"
"10","boleto","153512.26","1011"
"10","voucher","11043.06","100"
"10","debit_card","6248.83","53"
"11","credit_card","988873.84","5647"
"11","boleto","234720.66","1438"
"11","voucher","10129.96","117"
"11","debit_card","6268.15","65"
"12","credit_card","699373.26","4206"
"12","boleto","168355.53","1133"
"12","voucher","11875.35","98"
"12","debit_card","7168.63","62"
