"month_num","month_name","total_revenue","total_freight_cost","freight_to_revenue_pct","num_orders"
"1","January  ","1035100.08","168655.69","16.29","7805"
"2","February ","1058112.88","176290.64","16.66","8185"
"3","March    ","1309361.47","221683.06","16.93","9521"
"4","April    ","1311404.49","208899.89","15.93","9074"
"5","May      ","1463715.48","227981.75","15.58","10269"
"6","June     ","1273752.57","223214.52","17.52","9206"
"7","July     ","1345567.32","243817.76","18.12","10007"
"8","August   ","1389007.71","237235.28","17.08","10511"
"9","September","603932.47","93410.22","15.47","4138"
"10","October  ","686946.84","108784.50","15.84","4730"
"11","November ","984297.10","165070.93","16.77","7268"
"12","December ","724333.28","116764.50","16.12","5499"
