"order_year","customer_state","payment_type","category","total_revenue","total_orders"
"2018","São Paulo","credit_card","health_beauty","230336.45","1872"
"2018","São Paulo","credit_card","bed_bath_table","214528.87","2094"
"2018","São Paulo","credit_card","watches_gifts","202866.89","1031"
"2017","São Paulo","credit_card","bed_bath_table","185835.88","1743"
"2018","São Paulo","credit_card","sports_leisure","161583.51","1365"
"2017","São Paulo","credit_card","watches_gifts","148202.28","635"
"2018","São Paulo","credit_card","computers_accessories","130613.94","1233"
"2018","São Paulo","credit_card","housewares","128082.45","1276"
"2017","São Paulo","credit_card","sports_leisure","120553.79","1049"
"2017","São Paulo","credit_card","health_beauty","119041.04","960"
"2017","São Paulo","credit_card","cool_stuff","102527.52","594"
"2018","São Paulo","credit_card","furniture_decor","101762.71","1002"
"2018","São Paulo","credit_card","auto","100820.11","788"
"2017","São Paulo","credit_card","furniture_decor","85892.27","1018"
"2018","Rio de Janeiro","credit_card","watches_gifts","83464.65","414"
"2017","São Paulo","credit_card","toys","82850.63","740"
"2018","São Paulo","credit_card","baby","82273.31","555"
"2017","São Paulo","credit_card","computers_accessories","75323.61","632"
"2018","Minas Gerais","credit_card","health_beauty","74142.14","454"
"2017","Rio de Janeiro","credit_card","bed_bath_table","72884.65","685"
"2017","São Paulo","credit_card","perfumery","68752.68","494"
"2018","São Paulo","credit_card","cool_stuff","67643.98","433"
"2017","São Paulo","credit_card","housewares","66667.48","841"
"2017","Rio de Janeiro","credit_card","watches_gifts","64089.62","253"
"2017","São Paulo","credit_card","auto","63818.63","434"
"2018","São Paulo","credit_card","toys","63194.06","525"
"2018","São Paulo","credit_card","perfumery","62353.51","552"
"2018","Minas Gerais","credit_card","watches_gifts","62017.71","333"
"2018","Rio de Janeiro","credit_card","health_beauty","60967.58","447"
"2017","Minas Gerais","credit_card","bed_bath_table","57967.46","543"
"2018","Minas Gerais","credit_card","bed_bath_table","55694.17","500"
"2018","Rio de Janeiro","credit_card","bed_bath_table","55311.79","567"
"2017","São Paulo","credit_card","garden_tools","52174.21","487"
"2017","Rio de Janeiro","credit_card","health_beauty","51487.08","318"
"2018","São Paulo","credit_card","garden_tools","48143.69","409"
"2018","São Paulo","boleto","bed_bath_table","46640.97","494"
"2018","São Paulo","boleto","computers_accessories","46573.58","377"
"2018","Rio de Janeiro","credit_card","sports_leisure","46266.95","367"
"2018","São Paulo","credit_card","stationery","45603.95","498"
"2017","Minas Gerais","credit_card","health_beauty","44903.64","316"
"2018","Minas Gerais","credit_card","sports_leisure","44356.72","339"
"2018","São Paulo","credit_card","construction_tools_construction","43401.55","234"
"2017","Rio de Janeiro","credit_card","sports_leisure","43354.24","346"
"2018","São Paulo","boleto","health_beauty","42911.68","469"
"2017","Rio de Janeiro","credit_card","toys","42714.72","296"
"2018","São Paulo","credit_card","pet_shop","42292.05","380"
"2018","São Paulo","credit_card","telephony","41703.61","609"
"2017","Rio de Janeiro","credit_card","cool_stuff","40943.56","246"
"2018","Minas Gerais","credit_card","computers_accessories","40681.17","380"
"2018","Rio de Janeiro","credit_card","computers_accessories","40518.65","377"
"2017","Rio de Janeiro","credit_card","computers_accessories","38736.33","258"
"2017","Minas Gerais","credit_card","watches_gifts","38461.21","160"
"2017","São Paulo","credit_card","baby","38161.54","348"
"2017","Minas Gerais","credit_card","cool_stuff","37087.41","216"
"2017","São Paulo","credit_card","computers","35725.55","28"
"2018","São Paulo","credit_card","office_furniture","35670.92","194"
"2018","São Paulo","credit_card","musical_instruments","35645.81","124"
"2018","Minas Gerais","credit_card","housewares","35345.83","319"
"2018","Rio de Janeiro","credit_card","housewares","34804.66","337"
"2017","São Paulo","boleto","computers_accessories","34780.26","270"
"2017","Minas Gerais","credit_card","sports_leisure","34652.35","302"
"2018","Minas Gerais","credit_card","auto","34451.53","237"
"2017","São Paulo","boleto","bed_bath_table","34334.89","402"
"2018","São Paulo","boleto","sports_leisure","34282.95","372"
"2018","Rio de Janeiro","credit_card","furniture_decor","34280.75","305"
"2018","São Paulo","boleto","watches_gifts","33822.00","216"
"2017","Minas Gerais","credit_card","toys","32980.83","252"
"2018","Paraná","credit_card","watches_gifts","31900.22","138"
"2017","Rio de Janeiro","credit_card","furniture_decor","31713.60","327"
"2017","São Paulo","credit_card","telephony","31673.57","506"
"2017","São Paulo","boleto","sports_leisure","30711.76","317"
"2018","Minas Gerais","credit_card","furniture_decor","29804.00","278"
"2018","Rio Grande do Sul","credit_card","bed_bath_table","29422.52","241"
"2017","São Paulo","boleto","health_beauty","28482.29","270"
"2018","Rio de Janeiro","credit_card","auto","28385.38","195"
"2017","Rio de Janeiro","credit_card","garden_tools","27809.01","241"
"2017","Minas Gerais","credit_card","computers_accessories","27322.99","217"
"2017","São Paulo","credit_card","office_furniture","26311.27","152"
"2017","São Paulo","credit_card","stationery","26248.90","266"
"2018","Rio de Janeiro","credit_card","home_appliances_2","26002.65","33"
"2017","São Paulo","credit_card","small_appliances","25659.88","94"
"2017","São Paulo","credit_card","consoles_games","25406.34","194"
"2017","Rio de Janeiro","credit_card","perfumery","25271.42","186"
"2018","São Paulo","credit_card","electronics","24982.52","486"
"2018","Minas Gerais","credit_card","baby","24414.36","152"
"2018","Rio de Janeiro","credit_card","cool_stuff","24231.42","144"
"2017","Rio Grande do Sul","credit_card","bed_bath_table","23999.42","239"
"2018","São Paulo","credit_card","small_appliances","23692.09","116"
"2018","Bahia","credit_card","watches_gifts","23510.24","104"
"2017","São Paulo","credit_card","luggage_accessories","23231.47","166"
"2017","Rio de Janeiro","credit_card","auto","23014.40","114"
"2018","São Paulo","boleto","housewares","22984.86","259"
"2018","Minas Gerais","credit_card","garden_tools","22859.34","169"
"2017","São Paulo","boleto","watches_gifts","22739.46","151"
"2018","São Paulo","boleto","furniture_decor","22585.98","257"
"2018","Paraná","credit_card","health_beauty","22488.72","159"
"2018","Bahia","credit_card","health_beauty","22411.33","133"
"2018","Pernambuco","credit_card","watches_gifts","22305.97","91"
"2017","Minas Gerais","credit_card","perfumery","22274.90","150"
"2017","São Paulo","credit_card","pet_shop","22223.97","203"
"2018","São Paulo","credit_card","fashion_bags_accessories","22122.86","267"
"2017","Minas Gerais","credit_card","auto","22072.77","123"
"2017","Paraná","credit_card","sports_leisure","22065.33","148"
"2018","São Paulo","credit_card","home_appliances_2","22063.62","39"
"2017","Minas Gerais","credit_card","furniture_decor","21899.65","253"
"2018","Pernambuco","credit_card","health_beauty","21507.88","114"
"2018","São Paulo","credit_card","home_appliances","21380.41","204"
"2018","Paraná","credit_card","sports_leisure","21267.51","167"
"2017","Rio Grande do Sul","credit_card","cool_stuff","21201.51","114"
"2017","Rio Grande do Sul","credit_card","health_beauty","21147.72","122"
"2018","Rio Grande do Sul","credit_card","furniture_decor","20943.44","160"
"2018","São Paulo","credit_card","luggage_accessories","20832.13","163"
"2018","Rio de Janeiro","credit_card","garden_tools","20680.54","160"
"2017","Paraná","credit_card","bed_bath_table","20651.36","173"
"2017","Minas Gerais","credit_card","housewares","20531.79","215"
"2017","São Paulo","boleto","furniture_decor","20209.35","266"
"2018","São Paulo","credit_card","home_construction","20115.85","130"
