"order_year","customer_state","payment_type","total_revenue"
"2016","São Paulo","credit_card","9178.80"
"2016","Rio de Janeiro","credit_card","6028.13"
"2016","Minas Gerais","credit_card","3824.39"
"2016","Rio Grande do Sul","credit_card","2050.58"
"2016","Santa Catarina","credit_card","1788.36"
"2016","São Paulo","boleto","1696.07"
"2016","Paraná","credit_card","1610.45"
"2016","Rio de Janeiro","boleto","1537.77"
"2016","Ceará","credit_card","1469.79"
"2016","Pernambuco","credit_card","974.80"
"2016","Distrito Federal","credit_card","934.87"
"2016","Goiás","credit_card","904.49"
"2016","Espírito Santo","credit_card","759.89"
"2016","Pará","boleto","629.90"
"2016","Rio Grande do Norte","credit_card","528.79"
"2016","Rio Grande do Sul","boleto","472.97"
"2016","Pará","credit_card","397.80"
"2016","Minas Gerais","boleto","302.87"
"2016","Pernambuco","boleto","274.80"
"2016","Maranhão","credit_card","236.86"
"2016","Sergipe","credit_card","227.45"
"2016","Bahia","credit_card","224.89"
"2016","Piauí","credit_card","210.00"
"2016","São Paulo","debit_card","209.89"
"2016","Paraná","boleto","200.80"
"2016","Ceará","boleto","179.89"
"2016","Rio de Janeiro","voucher","126.89"
"2016","Espírito Santo","boleto","99.90"
"2016","Maranhão","boleto","77.90"
"2016","Paraná","voucher","59.90"
"2016","Sergipe","boleto","58.00"
"2016","Alagoas","credit_card","49.99"
"2016","Paraíba","boleto","49.90"
"2016","RR","boleto","39.70"
"2016","Mato Grosso","credit_card","23.90"
"2016","Bahia","boleto","19.99"
"2016","São Paulo","voucher","16.90"
"2017","São Paulo","credit_card","1582852.27"
"2017","Rio de Janeiro","credit_card","664822.00"
"2017","Minas Gerais","credit_card","531113.85"
"2017","São Paulo","boleto","377435.20"
"2017","Rio Grande do Sul","credit_card","251482.07"
"2017","Paraná","credit_card","212233.48"
"2017","Bahia","credit_card","171566.90"
"2017","Santa Catarina","credit_card","162689.51"
"2017","Rio de Janeiro","boleto","132344.72"
"2017","Minas Gerais","boleto","120961.95"
"2017","Distrito Federal","credit_card","96307.48"
"2017","Pernambuco","credit_card","93376.69"
"2017","Goiás","credit_card","92278.14"
"2017","Espírito Santo","credit_card","90914.36"
"2017","Ceará","credit_card","83381.54"
"2017","Rio Grande do Sul","boleto","70418.53"
"2017","Pará","credit_card","69478.22"
"2017","Mato Grosso","credit_card","52281.53"
"2017","Paraná","boleto","48179.58"
"2017","Santa Catarina","boleto","41939.99"
"2017","Maranhão","credit_card","40977.61"
"2017","Mato Grosso do Sul","credit_card","40713.35"
"2017","Paraíba","credit_card","37661.70"
"2017","Alagoas","credit_card","35685.91"
"2017","Bahia","boleto","35078.18"
"2017","São Paulo","voucher","34199.93"
"2017","Goiás","boleto","28823.60"
"2017","Piauí","credit_card","26991.21"
"2017","Rio Grande do Norte","credit_card","24836.86"
"2017","Sergipe","credit_card","21576.01"
"2017","Ceará","boleto","18242.46"
"2017","Espírito Santo","boleto","17637.49"
"2017","Rondônia","credit_card","17571.53"
"2017","Tocantins","credit_card","16079.12"
"2017","Distrito Federal","boleto","16005.02"
"2017","São Paulo","debit_card","15859.64"
"2017","Mato Grosso","boleto","15623.33"
"2017","Pernambuco","boleto","15033.05"
"2017","Maranhão","boleto","14747.08"
"2017","Pará","boleto","14471.51"
"2017","Rio de Janeiro","voucher","13281.20"
"2017","Amazonas","credit_card","8947.26"
"2017","Mato Grosso do Sul","boleto","8867.33"
"2017","AC","credit_card","8306.85"
"2017","Paraíba","boleto","8134.94"
"2017","Rio Grande do Norte","boleto","6942.45"
"2017","Minas Gerais","voucher","6076.49"
"2017","Tocantins","boleto","6061.25"
"2017","Rondônia","boleto","5630.44"
"2017","Sergipe","boleto","5618.13"
"2017","Rio de Janeiro","debit_card","5487.94"
"2017","Piauí","boleto","5180.89"
"2017","Rio Grande do Sul","voucher","5041.65"
"2017","Alagoas","boleto","4719.35"
"2017","Amapá","credit_card","3649.66"
"2017","Paraná","voucher","3151.55"
"2017","Bahia","voucher","2966.94"
"2017","Minas Gerais","debit_card","2808.85"
"2017","Ceará","voucher","2022.05"
"2017","Amapá","boleto","1823.38"
"2017","Rio Grande do Sul","debit_card","1724.81"
"2017","Santa Catarina","voucher","1672.20"
"2017","Paraná","debit_card","1533.34"
"2017","AC","boleto","1509.64"
"2017","Espírito Santo","voucher","1476.49"
"2017","Goiás","voucher","1235.46"
"2017","RR","credit_card","1132.37"
"2017","Santa Catarina","debit_card","1083.97"
"2017","Amazonas","boleto","982.34"
"2017","Bahia","debit_card","971.48"
"2017","Pará","voucher","956.67"
"2017","Rio Grande do Norte","voucher","914.97"
"2017","Pernambuco","voucher","743.50"
"2017","Ceará","debit_card","690.59"
"2017","Pernambuco","debit_card","687.88"
"2017","Paraíba","voucher","648.80"
"2017","Maranhão","voucher","568.80"
"2017","Rio Grande do Norte","debit_card","490.40"
"2017","Distrito Federal","voucher","485.36"
